   confID        vdw0    sas     sum
ARG01A0035_001   1.193 -14.582 -13.389
ARG01A0035_002   1.766 -14.309 -12.544
ARG01A0035_003   1.758 -14.306 -12.548
ARG01A0035_004   3.271 -13.519 -10.248
ARG01A0035_005   1.449 -14.628 -13.179
ARG01A0035_006   1.751 -14.658 -12.908
ARG01A0035_007   1.715 -14.421 -12.707
ARG01A0035_008   1.742 -14.258 -12.516
ARG01A0035_009   1.749 -14.482 -12.734
ARG01A0035_010   2.886 -13.764 -10.878
ARG01A0035_011   3.331 -14.069 -10.738
ARG01A0035_012   1.794 -14.019 -12.225
ARG01A0035_013   1.422 -14.938 -13.515
ARG01A0035_014   1.800 -14.454 -12.654
ARG01A0035_015   1.138 -15.316 -14.178
ARG01A0035_016   1.388 -14.572 -13.184
ARG01A0035_017   2.046 -14.784 -12.738
ARG01A0035_018   1.667 -14.574 -12.907
ARG01A0035_019   1.140 -14.807 -13.668
ARG01A0035_020   1.834 -13.904 -12.070
ARG02A0035_021   1.176 -14.582 -13.405
ARG02A0035_022   1.473 -14.740 -13.268
ARG02A0035_023   1.647 -14.374 -12.727
ARG02A0035_024   1.169 -14.902 -13.733
ARG02A0035_025   1.787 -13.939 -12.152
ARG02A0035_026   1.388 -14.508 -13.120
ARG02A0035_027   1.750 -14.459 -12.709
ARG02A0035_028   2.093 -14.829 -12.736
ARG02A0035_029   1.553 -14.817 -13.264
ARG02A0035_030   1.824 -14.303 -12.479
ARG02A0035_031   1.673 -14.958 -13.285
ARG02A0035_032   2.866 -13.712 -10.846
ARG02A0035_033   1.836 -14.354 -12.518
ARG02A0035_034   1.454 -14.834 -13.380
ARG02A0035_035   1.789 -14.571 -12.782
ARG02A0035_036   1.834 -14.178 -12.344
ARG02A0035_037   3.343 -13.451 -10.108
ARG02A0035_038   1.945 -14.303 -12.358
ARG02A0035_039   1.839 -14.023 -12.184
ARG02A0035_040   3.838 -14.127 -10.289
ARG03A0035_041   1.169 -14.582 -13.413
ARG03A0035_042   1.375 -14.572 -13.197
ARG03A0035_043   1.684 -14.958 -13.274
ARG03A0035_044   1.872 -14.303 -12.431
ARG03A0035_045   1.823 -14.422 -12.599
ARG03A0035_046   1.586 -14.473 -12.887
ARG03A0035_047   2.852 -13.661 -10.808
ARG03A0035_048   1.752 -14.422 -12.670
ARG03A0035_049   3.223 -13.451 -10.228
ARG03A0035_050   1.419 -14.834 -13.415
ARG03A0035_051   2.098 -14.941 -12.844
ARG03A0035_052   1.794 -13.955 -12.161
ARG03A0035_053   3.644 -14.060 -10.415
ARG03A0035_054   1.736 -14.178 -12.442
ARG03A0035_055   1.140 -14.902 -13.762
ARG03A0035_056   1.489 -14.599 -13.110
ARG03A0035_057   1.741 -14.459 -12.718
ARG03A0035_058   1.776 -13.939 -12.163
ARG03A0035_059   1.748 -14.571 -12.823
ARG03A0035_060   1.552 -14.817 -13.265
ARG+1A0035_061   1.130 -14.582 -13.451
ARG+1A0035_062   1.708 -14.534 -12.826
ARG+1A0035_063   1.690 -14.178 -12.488
ARG+1A0035_064   1.741 -13.939 -12.198
ARG+1A0035_065   1.106 -14.902 -13.796
ARG+1A0035_066   1.379 -14.766 -13.387
ARG+1A0035_067   1.693 -14.395 -12.702
ARG+1A0035_068   1.497 -14.817 -13.320
ARG+1A0035_069   1.796 -14.474 -12.678
ARG+1A0035_070   1.644 -14.961 -13.317
ARG+1A0035_071   2.807 -13.776 -10.969
ARG+1A0035_072   3.203 -13.451 -10.247
ARG+1A0035_073   1.828 -14.235 -12.407
ARG+1A0035_074   1.441 -14.728 -13.287
ARG+1A0035_075   1.336 -14.572 -13.237
ARG+1A0035_076   2.060 -14.829 -12.769
ARG+1A0035_077   1.728 -14.683 -12.955
ARG+1A0035_078   1.756 -14.023 -12.267
ARG+1A0035_079   1.540 -14.422 -12.881
ARG+1A0035_080   3.743 -14.191 -10.448
